Customer ID,Age,Gender,Location,Annual Income,Total_Spent,Total_Purchases,Avg_Purchase_Value,Purchase History,Browsing History,Product Reviews,Time on Site
1010,34,Female,City A,49950,150.3,2,75.15,"[{""Date"": ""2022-06-20"", ""Category"": ""Beauty & Health"", ""Price"": 59.33}, {""Date"": ""2022-07-30"", ""Category"": ""Clothing"", ""Price"": 90.97}]","[{""Timestamp"": ""2022-07-25T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-06-22T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-07-27T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-07-29T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-06-17T00:00:00Z"", ""Product Category"": ""Beauty & Health""}]","{""reviews"": [{""Product"": ""Beauty & Health"", ""Rating"": 3.7, ""Review"": ""Decent beauty & health. Met expectations.""}, {""Product"": ""Clothing"", ""Rating"": 5, ""Review"": ""Excellent clothing! Highly recommend.""}]}",54.6
1011,34,Female,City K,39176,119.92,2,59.96,"[{""Date"": ""2022-12-14"", ""Category"": ""Clothing"", ""Price"": 104.41}, {""Date"": ""2022-10-02"", ""Category"": ""Books"", ""Price"": 15.51}]","[{""Timestamp"": ""2022-12-12T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-12-07T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-10-05T00:00:00Z"", ""Product Category"": ""Clothing""}]","{""reviews"": [{""Product"": ""Books"", ""Rating"": 3.4, ""Review"": ""Decent books. Met expectations.""}]}",30.4
1012,42,Male,City L,64647,508.58,3,169.53,"[{""Date"": ""2022-09-24"", ""Category"": ""Electronics"", ""Price"": 363.1}, {""Date"": ""2022-10-03"", ""Category"": ""Clothing"", ""Price"": 83.85}, {""Date"": ""2022-12-10"", ""Category"": ""Home & Garden"", ""Price"": 61.63}]","[{""Timestamp"": ""2022-09-24T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-09-23T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-10-03T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-12-04T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-09-28T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-10T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-02T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-20T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-29T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-09-16T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-19T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-12-09T00:00:00Z"", ""Product Category"": ""Electronics""}]","{""reviews"": [{""Product"": ""Electronics"", ""Rating"": 3.4, ""Review"": ""Decent electronics. Met expectations.""}]}",90.7
1013,18,Female,City J,22207,111.88,2,55.94,"[{""Date"": ""2022-02-07"", ""Category"": ""Clothing"", ""Price"": 50.57}, {""Date"": ""2022-11-19"", ""Category"": ""Clothing"", ""Price"": 61.31}]","[{""Timestamp"": ""2022-11-21T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-10T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-14T00:00:00Z"", ""Product Category"": ""Clothing""}]","{""reviews"": [{""Product"": ""Clothing"", ""Rating"": 4.1, ""Review"": ""Very good clothing. Happy with purchase.""}, {""Product"": ""Clothing"", ""Rating"": 4.2, ""Review"": ""Very good clothing. Happy with purchase.""}]}",15.0
1014,19,Other,City L,42109,270.55,2,135.28,"[{""Date"": ""2022-08-07"", ""Category"": ""Clothing"", ""Price"": 91.04}, {""Date"": ""2022-10-08"", ""Category"": ""Electronics"", ""Price"": 179.51}]","[{""Timestamp"": ""2022-10-12T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-14T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-12T00:00:00Z"", ""Product Category"": ""Electronics""}]","{""reviews"": [{""Product"": ""Electronics"", ""Rating"": 4.0, ""Review"": ""Very good electronics. Happy with purchase.""}, {""Product"": ""Clothing"", ""Rating"": 4.4, ""Review"": ""Very good clothing. Happy with purchase.""}]}",38.1
1015,33,Male,City C,37952,46.8,2,23.4,"[{""Date"": ""2022-12-22"", ""Category"": ""Beauty & Health"", ""Price"": 16.74}, {""Date"": ""2022-04-20"", ""Category"": ""Home & Garden"", ""Price"": 30.06}]","[{""Timestamp"": ""2022-04-27T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-12-25T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-04-25T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-04-22T00:00:00Z"", ""Product Category"": ""Home & Garden""}]",,31.5
1016,27,Female,City I,24988,136.39,2,68.19,"[{""Date"": ""2022-10-07"", ""Category"": ""Clothing"", ""Price"": 82.27}, {""Date"": ""2022-04-23"", ""Category"": ""Clothing"", ""Price"": 54.12}]","[{""Timestamp"": ""2022-04-28T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-04-18T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-10-16T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-29T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-04-18T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-04-19T00:00:00Z"", ""Product Category"": ""Clothing""}]",,48.9
1017,43,Female,City E,39356,301.26,2,150.63,"[{""Date"": ""2022-08-04"", ""Category"": ""Electronics"", ""Price"": 115.87}, {""Date"": ""2022-02-11"", ""Category"": ""Electronics"", ""Price"": 185.39}]","[{""Timestamp"": ""2022-08-05T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-07-25T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-07-25T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-08-09T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-02-09T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-08-13T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-08-03T00:00:00Z"", ""Product Category"": ""Electronics""}]",,42.3
1018,29,Other,City K,29728,246.91,3,82.3,"[{""Date"": ""2022-07-12"", ""Category"": ""Sports & Outdoors"", ""Price"": 66.45}, {""Date"": ""2022-04-12"", ""Category"": ""Books"", ""Price"": 7.63}, {""Date"": ""2022-12-20"", ""Category"": ""Home & Garden"", ""Price"": 172.83}]","[{""Timestamp"": ""2022-07-11T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-12-13T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-12-11T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-12-21T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-04-02T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-04-05T00:00:00Z"", ""Product Category"": ""Books""}]","{""reviews"": [{""Product"": ""Home & Garden"", ""Rating"": 5, ""Review"": ""Excellent home & garden! Highly recommend.""}, {""Product"": ""Sports & Outdoors"", ""Rating"": 3.1, ""Review"": ""Decent sports & outdoors. Met expectations.""}]}",56.9
1019,23,Female,City C,32422,68.3,2,34.15,"[{""Date"": ""2022-11-30"", ""Category"": ""Books"", ""Price"": 13.34}, {""Date"": ""2022-10-03"", ""Category"": ""Beauty & Health"", ""Price"": 54.96}]","[{""Timestamp"": ""2022-10-11T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-11-28T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-12-04T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-09-23T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-12-05T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-10-01T00:00:00Z"", ""Product Category"": ""Electronics""}]",,42.2
1020,57,Female,City I,61131,321.93,3,107.31,"[{""Date"": ""2022-04-08"", ""Category"": ""Sports & Outdoors"", ""Price"": 34.25}, {""Date"": ""2022-07-28"", ""Category"": ""Home & Garden"", ""Price"": 122.49}, {""Date"": ""2022-05-04"", ""Category"": ""Home & Garden"", ""Price"": 165.19}]","[{""Timestamp"": ""2022-07-18T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-07-25T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-08-02T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-08-04T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-07-26T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-04-04T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-04-29T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-07-26T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-05-13T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-04-07T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-07-18T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}]","{""reviews"": [{""Product"": ""Sports & Outdoors"", ""Rating"": 3.8, ""Review"": ""Decent sports & outdoors. Met expectations.""}]}",86.6
1021,37,Other,City E,34292,147.76,2,73.88,"[{""Date"": ""2022-03-06"", ""Category"": ""Home & Garden"", ""Price"": 139.21}, {""Date"": ""2022-09-09"", ""Category"": ""Books"", ""Price"": 8.55}]","[{""Timestamp"": ""2022-09-14T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-02-25T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-02-26T00:00:00Z"", ""Product Category"": ""Home & Garden""}]","{""reviews"": [{""Product"": ""Home & Garden"", ""Rating"": 3.8, ""Review"": ""Decent home & garden. Met expectations.""}]}",43.9
1022,40,Male,City J,41661,629.38,3,209.79,"[{""Date"": ""2022-02-13"", ""Category"": ""Electronics"", ""Price"": 355.51}, {""Date"": ""2022-03-02"", ""Category"": ""Beauty & Health"", ""Price"": 43.06}, {""Date"": ""2022-08-02"", ""Category"": ""Electronics"", ""Price"": 230.81}]","[{""Timestamp"": ""2022-02-19T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-03-10T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-03-10T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-07-26T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-02-23T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-02-08T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-02-08T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-08-11T00:00:00Z"", ""Product Category"": ""Electronics""}]","{""reviews"": [{""Product"": ""Beauty & Health"", ""Rating"": 4.9, ""Review"": ""Excellent beauty & health! Highly recommend.""}, {""Product"": ""Electronics"", ""Rating"": 5, ""Review"": ""Excellent electronics! Highly recommend.""}, {""Product"": ""Electronics"", ""Rating"": 4.7, ""Review"": ""Excellent electronics! Highly recommend.""}]}",54.4
1023,22,Other,City D,49428,81.99,2,41.0,"[{""Date"": ""2022-11-17"", ""Category"": ""Beauty & Health"", ""Price"": 46.45}, {""Date"": ""2022-04-12"", ""Category"": ""Beauty & Health"", ""Price"": 35.54}]","[{""Timestamp"": ""2022-11-27T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-11-09T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-04-16T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-04-10T00:00:00Z"", ""Product Category"": ""Beauty & Health""}]","{""reviews"": [{""Product"": ""Beauty & Health"", ""Rating"": 3.8, ""Review"": ""Decent beauty & health. Met expectations.""}]}",21.0
1024,33,Other,City F,53496,239.72,3,79.91,"[{""Date"": ""2022-01-14"", ""Category"": ""Electronics"", ""Price"": 68.1}, {""Date"": ""2022-12-12"", ""Category"": ""Books"", ""Price"": 32.23}, {""Date"": ""2022-10-22"", ""Category"": ""Home & Garden"", ""Price"": 139.39}]","[{""Timestamp"": ""2022-10-20T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-12-18T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-01-22T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-01-19T00:00:00Z"", ""Product Category"": ""Books""}]","{""reviews"": [{""Product"": ""Electronics"", ""Rating"": 4.1, ""Review"": ""Very good electronics. Happy with purchase.""}]}",55.5
1025,41,Female,City G,47139,355.55,3,118.52,"[{""Date"": ""2022-05-28"", ""Category"": ""Books"", ""Price"": 26.16}, {""Date"": ""2022-07-25"", ""Category"": ""Electronics"", ""Price"": 303.77}, {""Date"": ""2022-10-09"", ""Category"": ""Home & Garden"", ""Price"": 25.62}]","[{""Timestamp"": ""2022-07-23T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-09-29T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-07-28T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-08-03T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-13T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-05-26T00:00:00Z"", ""Product Category"": ""Electronics""}]","{""reviews"": [{""Product"": ""Electronics"", ""Rating"": 3.2, ""Review"": ""Decent electronics. Met expectations.""}, {""Product"": ""Books"", ""Rating"": 4.4, ""Review"": ""Very good books. Happy with purchase.""}, {""Product"": ""Home & Garden"", ""Rating"": 4.9, ""Review"": ""Excellent home & garden! Highly recommend.""}]}",68.2
1026,26,Other,City J,30906,94.64,2,47.32,"[{""Date"": ""2022-12-30"", ""Category"": ""Electronics"", ""Price"": 83.1}, {""Date"": ""2022-10-10"", ""Category"": ""Clothing"", ""Price"": 11.54}]","[{""Timestamp"": ""2022-12-27T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2023-01-03T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2023-01-04T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-10-16T00:00:00Z"", ""Product Category"": ""Electronics""}]","{""reviews"": [{""Product"": ""Clothing"", ""Rating"": 3.6, ""Review"": ""Decent clothing. Met expectations.""}, {""Product"": ""Electronics"", ""Rating"": 4.9, ""Review"": ""Excellent electronics! Highly recommend.""}]}",28.7
1027,44,Female,City I,46540,231.53,2,115.76,"[{""Date"": ""2022-04-08"", ""Category"": ""Home & Garden"", ""Price"": 202.87}, {""Date"": ""2022-09-18"", ""Category"": ""Books"", ""Price"": 28.66}]","[{""Timestamp"": ""2022-04-06T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-09-18T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-09-08T00:00:00Z"", ""Product Category"": ""Books""}]",,35.1
